WS-C2960+24TC-L,131072K,0xF,"38 weeks, 2 hours, 39 minutes",15.2(1)E,power-on,12:00:29 CST Sat Jul 18 2015,flash:/c2960-lanbasek9-mz.152-1.E.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
WS-C2960S-24TS-L,131072K,0xF,"1 year, 9 weeks, 5 days, 11 hours, 8 minutes",12.2(58)SE1,power-on,13:34:45 CST Sat Jul 18 2015,flash:/c2960s-universalk9-mz.122-58.SE1.bin
